flag,cst_unn_id,bas_inf,act,zx
1,31619799,10,22,120
1,30405750,5,12,85
1,30795739,5,25,35
1,41515957,10,-3,80
1,37830543,10,7,-15
1,43793313,1,2,0
1,34892081,13,2,70
1,35114380,13,12,105
1,32510426,10,2,60
1,37853781,15,7,80
1,33432383,18,0,-35
1,33458418,15,7,-60
1,40721028,10,5,0
1,40271120,15,12,-100
1,39075198,10,10,0
1,40390014,15,12,45
1,40281252,15,7,-35
1,36641964,15,-10,-40
1,36641964,15,-10,-40
1,36151612,10,7,90
1,41146757,10,12,-20
1,37251577,15,12,100
1,41017617,0,17,105
1,38585143,16,18,-60
1,38585143,16,18,-60
1,39394388,40,2,-70
1,40656215,5,10,-110
1,30394651,8,0,-70
1,41590679,40,10,-100
1,33908994,3,12,85
1,37102992,13,17,95
1,37847813,10,15,120
1,34263636,10,2,70
1,37555253,35,20,115
1,32915799,17,15,-30
1,36684671,15,2,60
1,37771822,10,12,-15
1,36615310,0,7,85
1,35696653,10,5,10
1,37870065,10,10,80
1,36500446,10,-8,35
0,30760590,8,7,30
0,39532361,40,22,120
0,34483905,15,22,105
0,34229871,15,13,40
0,35926423,12,15,85
0,36495089,10,12,40
0,33641513,8,15,65
0,36296503,15,-3,120
0,32920345,8,17,120
0,40743141,13,20,5
0,39565527,15,12,110
0,40662367,18,30,55
0,37890188,14,12,110
0,33685290,0,12,120
0,39359535,8,22,80
0,32397374,13,2,115
0,39407775,20,7,85
0,37361563,10,25,80
0,40405632,28,22,105
0,30419733,10,12,45
0,41310544,3,2,15
0,32212314,15,22,115
0,35817064,8,12,95
0,37157605,13,22,110
0,34142200,12,22,110
0,43868722,11,10,40
0,34298947,10,20,105
0,36686654,30,22,105
0,37485179,15,-3,105
0,40607656,15,20,50
0,34358715,15,12,105
0,32728259,16,27,120
0,35663713,13,22,105
0,32301027,13,5,55
0,32301027,13,5,55
0,34056657,10,22,110
0,37605328,15,22,110
0,34491852,8,12,120
0,34278895,15,7,25
0,32157127,13,12,110
0,35775629,15,2,100
0,30409031,15,13,-10
0,40999355,35,22,110
0,37621177,13,22,115
0,30886870,8,7,105
0,32954936,41,22,105
0,34422644,5,22,115
0,33665547,10,17,115
0,40279014,11,12,130
0,40884302,30,20,35
0,33436345,10,22,105
0,41888596,5,10,-35
0,41099775,30,17,110
0,31974365,20,25,-35
0,37046671,35,20,110
0,34145988,15,22,85
0,37405687,10,-3,75
0,34409959,10,7,90
0,31164082,10,2,100
0,36429944,15,22,120
0,33607842,10,12,120
0,36737122,8,17,90
0,35759967,10,22,110
0,32431598,32,22,120
0,37484852,48,17,85
0,39266482,35,12,115
0,33731656,40,12,110
0,37844042,15,15,20
0,31876957,10,12,105
0,38880745,10,23,20
0,36929637,20,15,115
0,39249853,5,10,60
0,37273689,30,17,65
0,32307176,10,22,95
0,40578101,15,0,70
0,37829773,10,20,55
0,41090505,8,12,100
0,33790175,13,12,25
0,37629970,10,10,60
0,37124330,47,25,90
0,34706258,8,12,120
0,35056882,15,17,55
0,34546889,8,12,115
0,35749108,10,22,20
0,42527311,10,2,35
0,30931221,33,22,105
0,37866935,15,12,120
0,34193442,15,10,25
0,41749975,35,25,5
0,32964918,8,20,60
0,33511191,10,12,120
0,40836745,33,33,55
0,34289517,30,5,30
0,38024927,1,-3,85
0,32405674,20,22,80
0,37610145,15,-3,120
0,32915920,23,5,45
0,36001342,6,12,85
0,41120126,25,12,80
0,39179396,10,20,115
0,37378498,23,22,115
0,35829717,15,22,50
0,35748933,10,-3,100
0,39678746,15,7,30
0,34422685,3,22,120
0,31839526,15,27,-25
0,35262115,13,12,110
0,30472616,15,15,5
0,39693795,35,12,70
0,37089206,10,25,-5
0,33448082,23,20,80
0,37383133,28,18,45
0,34989668,12,10,10
0,35274444,8,22,120
0,40582752,15,17,115
0,32915953,8,22,105
0,35257201,15,12,120
0,37901339,15,22,110
0,34838263,10,2,85
0,32950451,8,12,105
0,43149255,11,22,85
0,41284654,0,12,120
0,36419896,15,17,115
0,30781832,16,2,120
0,32170343,10,22,110
0,40932443,15,25,85
0,40679003,5,7,20
0,38231299,8,12,80
0,37637608,5,17,110
0,41984779,15,10,-35
0,35767788,8,15,60
0,34339812,8,2,115
